[3290] [-0.846531, -0.703804] [0.464654, 0.709087]
[3300] [-0.840595, -0.718202] [0.474249, 0.72361]
[3310] [-0.834557, -0.732513] [0.483788, 0.738044]
[3320] [-0.828418, -0.746735] [0.493267, 0.752389]
[3330] [-0.822179, -0.760865] [0.502687, 0.766641]
[3340] [-0.815839, -0.774903] [0.512046, 0.7808]
[3350] [-0.809401, -0.788846] [0.521343, 0.794863]
[3360] [-0.802865, -0.802693] [0.530577, 0.80883]
[3370] [-0.796232, -0.816442] [0.539746, 0.822698]
[3380] [-0.789502, -0.830092] [0.54885, 0.836465]
[3390] [-0.782676, -0.84364] [0.557887, 0.85013]
[3400] [-0.775756, -0.857086] [0.566857, 0.863691]
[3410] [-0.768742, -0.870427] [0.575758, 0.877147]
[3420] [-0.761635, -0.883662] [0.58459, 0.890496]
[3430] [-0.754435, -0.896789] [0.59335, 0.903737]
[3440] [-0.747144, -0.909807] [0.602039, 0.916867]
[3450] [-0.739763, -0.922714] [0.610654, 0.929885]
[3460] [-0.732292, -0.935509] [0.619196, 0.942789]
[3470] [-0.724732, -0.948189] [0.627662, 0.955579]
[3480] [-0.717085, -0.960754] [0.636052, 0.968252]
[3490] [-0.709351, -0.973202] [0.644366, 0.980807]
[3500] [-0.701531, -0.985531] [0.652601, 0.993242]
[3510] [-0.693627, -0.997741] [0.660757, 1.00556]
[3520] [-0.685638, -1.00983] [0.668833, 1.01775]
[3530] [-0.677567, -1.02179] [0.676828, 1.02981]
[3540] [-0.669413, -1.03363] [0.684741, 1.04176]
[3550] [-0.661179, -1.04535] [0.692571, 1.05357]
[3560] [-0.652864, -1.05693] [0.700317, 1.06526]
[3570] [-0.644471, -1.06839] [0.707979, 1.07681]
[3580] [-0.636, -1.07972] [0.715554, 1.08824]
[3590] [-0.627451, -1.09092] [0.723043, 1.09953]
[3600] [-0.618827, -1.10198] [0.730444, 1.11069]
[3610] [-0.610129, -1.11291] [0.737757, 1.12171]
[3620] [-0.601356, -1.1237] [0.74498, 1.1326]
[3630] [-0.592511, -1.13436] [0.752113, 1.14334]
[3640] [-0.583594, -1.14488] [0.759155, 1.15395]
[3650] [-0.574607, -1.15526] [0.766105, 1.16442]
[3660] [-0.56555, -1.1655] [0.772962, 1.17474]
[3670] [-0.556425, -1.1756] [0.779725, 1.18493]
[3680] [-0.547233, -1.18555] [0.786394, 1.19497]
[3690] [-0.537974, -1.19536] [0.792968, 1.20486]
[3700] [-0.528651, -1.20502] [0.799445, 1.2146]
[3710] [-0.519264, -1.21454] [0.805826, 1.2242]
[3720] [-0.509814, -1.22391] [0.812109, 1.23365]
[3730] [-0.500302, -1.23313] [0.818294, 1.24295]
[3740] [-0.49073, -1.2422] [0.824379, 1.25209]
[3750] [-0.481099, -1.25112] [0.830365, 1.26109]
[3760] [-0.47141, -1.25989] [0.83625, 1.26993]
[3770] [-0.461664, -1.2685] [0.842034, 1.27862]
[3780] [-0.451862, -1.27696] [0.847716, 1.28715]
[3790] [-0.442006, -1.28527] [0.853295, 1.29552]
[3800] [-0.432096, -1.29341] [0.85877, 1.30373]
[3810] [-0.422134, -1.3014] [0.864142, 1.31179]
[3820] [-0.412122, -1.30924] [0.869409, 1.31969]
[3830] [-0.402059, -1.31691] [0.874571, 1.32743]
[3840] [-0.391948, -1.32442] [0.879626, 1.335]
[3850] [-0.38179, -1.33177] [0.884575, 1.34241]
[3860] [-0.371586, -1.33896] [0.889417, 1.34966]
[3870] [-0.361337, -1.34599] [0.894151, 1.35675]
[3880] [-0.351044, -1.35285] [0.898777, 1.36366]
[3890] [-0.340709, -1.35955] [0.903294, 1.37042]
[3900] [-0.330333, -1.36608] [0.907702, 1.377]
[3910] [-0.319917, -1.37245] [0.911999, 1.38342]
[3920] [-0.309462, -1.37865] [0.916186, 1.38967]
[3930] [-0.298971, -1.38468] [0.920262, 1.39575]
[3940] [-0.288443, -1.39054] [0.924227, 1.40167]
[3950] [-0.27788, -1.39624] [0.928079, 1.40741]
[3960] [-0.267284, -1.40176] [0.931819, 1.41298]
[3970] [-0.256656, -1.40712] [0.935446, 1.41837]
[3980] [-0.245996, -1.4123] [0.93896, 1.4236]
[3990] [-0.235308, -1.41731] [0.94236, 1.42865]
[4000] [-0.22459, -1.42215] [0.945646, 1.43353]
[4010] [-0.213846, -1.42682] [0.948817, 1.43823]
[4020] [-0.203076, -1.43131] [0.951873, 1.44276]
[4030] [-0.192282, -1.43563] [0.954814, 1.44711]
[4040] [-0.181464, -1.43977] [0.957639, 1.45129]
